,query,No,token,pos
201,전주여행,5,기,ETN
202,전주여행,5,로,JKB
203,전주여행,5,했,VV+EP
204,전주여행,5,는데,EC
205,전주여행,5,어디,NP
206,전주여행,5,로,JKB
207,전주여행,5,가,VV
208,전주여행,5,야,EC
209,전주여행,5,할지,VX+EC
210,전주여행,5,를,JKO
211,전주여행,5,몰라서,VV+EC
212,전주여행,5,너무,MAG
213,전주여행,5,막막,XR
214,전주여행,5,합니다,XSA+EF
215,전주여행,5,저희,NP
216,전주여행,5,둘,NR
217,전주여행,5,다,MAG
218,전주여행,5,일본,NNP
219,전주여행,5,애니,NNP
220,전주여행,5,를,JKO
221,전주여행,5,너무,MAG
222,전주여행,5,좋,VA
223,전주여행,5,아,EC
224,전주여행,5,하,VV
225,전주여행,5,는데,EC
226,전주여행,5,에,JKB
227,전주여행,5,오타쿠,NNP
228,전주여행,5,들,XSN
229,전주여행,5,이,JKS
230,전주여행,5,갈만,NNG
231,전주여행,5,할,XSV+ETM
232,전주여행,5,곳,NNB
233,전주여행,5,있,VV
234,전주여행,5,을까요,EC
235,전주여행,5,제발,MAG
236,전주여행,5,알려,VV+EC
237,전주여행,5,주,VX
238,전주여행,5,세요,EP+EF
239,전주여행,6,부모,NNG
240,전주여행,6,닝,NNP
241,전주여행,6,모시,VV
242,전주여행,6,고,EC
243,전주여행,6,부모,NNG
244,전주여행,6,님,XSN
245,전주여행,6,모시,VV
246,전주여행,6,고,EC
247,전주여행,6,가,VV
248,전주여행,6,려는데,EC
249,전주여행,6,명소,NNG
250,전주여행,6,식당,NNG
251,전주여행,6,추천,NNG
252,전주여행,6,부탁,NNG
253,전주여행,6,드립니다,VV+EC
254,전주여행,6,는,JX
255,전주여행,6,한옥마을,NNP
256,전주여행,6,로,JKB
257,전주여행,6,유명,XR
258,전주여행,6,한,XSA+ETM
259,전주여행,6,완산구,NNP
260,전주여행,6,가,JKS
261,전주여행,6,있,VA
262,전주여행,6,으며,EC
263,전주여행,6,덕진구,NNP
264,전주여행,6,또한,MAJ
265,전주여행,6,멋진,VA+ETM
266,전주여행,6,추억,NNG
267,전주여행,6,을,JKO
268,전주여행,6,가진,VV+ETM
269,전주여행,6,장소,NNG
270,전주여행,6,가,JKS
271,전주여행,6,많이,MAG
272,전주여행,7,2,SN
273,전주여행,7,박,NNBC
274,전주여행,7,3,SN
275,전주여행,7,일,NNBC
276,전주여행,7,이번,NNG
277,전주여행,7,주,NNG
278,전주여행,7,토,NNG
279,전주여행,7,월,NNG
280,전주여행,7,2,SN
281,전주여행,7,박,NNBC
282,전주여행,7,3,SN
283,전주여행,7,일,NNBC
284,전주여행,7,여자,NNG
285,전주여행,7,친구,NNG
286,전주여행,7,와,JC
287,전주여행,7,을,JKO
288,전주여행,7,가,VV
289,전주여행,7,는데,EC
290,전주여행,7,경로,NNG
291,전주여행,7,좀,MAG
292,전주여행,7,알려,VV+EC
293,전주여행,7,주,VX
294,전주여행,7,세요,EP+EF
295,전주여행,7,토요일,NNG
296,전주여행,7,엔,JKB+JX
297,전주여행,7,비,NNG
298,전주여행,7,가,JKS
299,전주여행,7,온다고,VV+EC
300,전주여행,7,하,VV
301,전주여행,7,는데,EC
302,전주여행,7,실내,NNG
303,전주여행,7,데이트,NNG
304,전주여행,7,가능,NNG
305,전주여행,7,한,XSA+ETM
306,전주여행,7,곳,NNG
307,전주여행,7,도,JX
308,전주여행,7,알려,VV+EC
309,전주여행,7,주,VX
310,전주여행,7,시,EP
311,전주여행,7,면,EC
312,전주여행,7,감사,NNG
313,전주여행,7,하,XSV
314,전주여행,7,겠,EP
315,전주여행,7,습니다,EF
316,전주여행,7,숙소,NNG
317,전주여행,7,는,JX
318,전주여행,7,한옥,NNG
319,전주여행,7,마을,NNG
320,전주여행,7,근처,NNG
321,전주여행,7,에,JKB
322,전주여행,7,잡,VV
323,전주여행,7,았,EP
324,전주여행,7,습니다,EF
325,전주여행,7,토,NNP
326,전주여행,7,한옥마을,NNP
327,전주여행,7,구경,NNG
328,전주여행,7,후,NNG
