,query,token,pos
749,전주여행,덕진구,NNP
752,전주여행,여행지,NNG
758,전주여행,달,NNG
760,전주여행,엄마,NNG
766,전주여행,계획,NNG
769,전주여행,답변,NNG
770,전주여행,부탁,NNG
773,전주여행,기차,NNG
775,전주여행,고속버스,NNG
787,전주여행,도착,NNG
789,전주여행,관광,NNG
791,전주여행,때,NNG
792,전주여행,이용,NNG
797,전주여행,교통수단,NNG
804,전주여행,숙소,NNG
805,전주여행,추천,NNG
808,전주여행,서울,NNP
809,전주여행,당일치기,NNG
813,전주여행,당일치기,NNG
815,전주여행,계획,NNG
821,전주여행,주역,NNP
823,전주여행,한옥마을,NNP
827,전주여행,방법,NNG
829,전주여행,당일치기,NNG
830,전주여행,코스,NNG
835,전주여행,주역,NNP
837,전주여행,한옥마을,NNP
841,전주여행,방법,NNG
844,전주여행,택시,NNG
846,전주여행,버스,NNG
851,전주여행,주역,NNP
853,전주여행,한옥마을,NNP
855,전주여행,택시,NNG
861,전주여행,경비,NNG
862,전주여행,보통,NNG
867,전주여행,경비,NNG
869,전주여행,얼마,NNG
870,전주여행,정도,NNG
873,전주여행,숙소,NNG
890,전주여행,질문,NNG
892,전주여행,도움,NNG
896,전주여행,답변,NNG
907,전주여행,예산,NNG
911,전주여행,내외,NNG
912,전주여행,숙소,NNG
923,전주여행,커플,NNG
926,전주여행,도움,NNG
930,전주여행,남자,NNG
931,전주여행,친구,NNG
933,전주여행,차,NNG
935,전주여행,이용,NNG
939,전주여행,이용,NNG
946,전주여행,요소,NNG
948,전주여행,고려,NNG
954,전주여행,교통,NNG
955,전주여행,체증,NNG
957,전주여행,예상,NNG
960,전주여행,날짜,NNG
964,전주여행,이용,NNG
974,전주여행,남자,NNG
975,전주여행,친구,NNG
976,전주여행,의,NNG
977,전주여행,남,NNG
980,전주여행,남,NNG
984,전주여행,여행지,NNG
986,전주여행,맛집,NNG
987,전주여행,추천,NNG
992,전주여행,보리암,NNP
993,전주여행,다랭이,NNG
994,전주여행,굴,NNG
995,전주여행,독일,NNP
996,전주여행,마을,NNG
997,전주여행,한옥마을,NNP
1008,전주여행,곳,NNG
1009,전주여행,맛집,NNG
1011,전주여행,추천,NNG
1015,전주여행,앞,NNG
1017,전주여행,말,NNG
1020,전주여행,곳,NNG
1025,전주여행,추천,NNG
1031,전주여행,맛집,NNG
1033,전주여행,곳,NNG
1034,전주여행,추천,NNG
1035,전주여행,맛집,NNG
1036,전주여행,국내,NNG
1037,전주여행,전,NNG
